titulo,letra
100% Você,"Eu nunca imaginei Que fosse assim tão de repente Quando olhei você com esse sorriso envolvente Tive a impressão que a noite iria ser eterna Foi tão real E agora não sei se a distância vai Separar nossos caminhos Minha única certeza é que eu Jamais vou te esquecer Me leva, me leva pro seu paraíso Me ensina tudo o que eu preciso pra Entrar nesse ciclo de amor Me mostra todo o amor desse mundo Eu quero você mais que tudo Pois sou 100% você E agora não sei se a distância vai Separar nossos caminhos Minha única certeza é que eu Jamais vou te esquecer"
2050,"Em 2050 Posso ser um taxista de aeroporto Contando a minha história a um garoto Falando de quando eu te conheci Em 2050 Eu vou ter algumas rugas no meu rosto E uma foto sua no meu bolso E vou mostrar sorrindo pra esse moço E dizer assim Olha aqui a minha véia Torce pra você achar uma dessas Na vida, isso é tudo que interessa Minha melhor corrida foi pra ela, foi pra ela Olha aqui a minha véia Torce pra você achar uma dessas Na vida, isso é tudo o que interessa Desculpa te alugar com essa conversa Pra todo passageiro, eu falo dela Em 2050 Eu vou ter algumas rugas no meu rosto E uma foto sua no meu bolso E vou mostrar sorrindo pra esse moço Olha aqui a minha véia Torce pra você achar uma dessas Na vida, isso é tudo que interessa Minha melhor corrida foi pra ela, foi pra ela Olha aqui a minha véia Torce pra você achar uma dessas Na vida, isso é tudo o que interessa Desculpa te alugar com essa conversa Pra todo passageiro, eu falo dela Olha aqui a minha véia Torce pra você achar uma dessas Na vida, isso é tudo o que interessa Desculpa te alugar com essa conversa Pra todo passageiro eu falo dela Só dela, só dela, só dela Em 2050"
24 Horas,"Hoje acordei Com uma vontade louca de falar De tudo aquilo que não vai voltar Dos sentimentos que passei um dia E me perdi Quando eu vi que você me deixou E me trocou sem nenhuma razão Era demais, a vida era bela Todas são iguais, mas como você eu nunca vi Sabe me tirar da solidão Não dava nada Agora eu tô perdido e louco de paixão Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração Hoje acordei Com uma vontade louca de falar De tudo aquilo que não vai voltar Dos sentimentos que passei um dia Todas são iguais, mas como você eu nunca vi Sabe me tirar da solidão Não dava nada Agora eu tô perdido e louco de paixão Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração Queria tanto poder te falar Daquele tempo que não vai voltar É tentação, mais que paixão São 24 horas de você no coração Hoje acordei Com uma vontade louca de falar"
3 de Maio,"Se todo lugar que eu olho eu vejo seu rosto Se a brisa do oceano vem, me traz seu gosto Quando você chega perto, eu quase desmaio Vai ficar marcado, hoje, dia 3 de maio Acordei bem cedo e decidi tentar a sorte Na minha vida, a timidez sempre falou mais forte O seu não eu já ganhei, se me esnobar eu saio Vai ficar marcado, hoje, dia 3 de maio Chegou a hora e do seu lado eu começo a suar Foi mal, eu já nem sei mais o que ia dizer Trouxe essa flor de plástico pra te presentear Eu vou te amar até a flor morrer Quando o amor bate na porta é só deixar ele entrar Na vida tem escolhas e o mais certo é não ter medo de errar O beijo tão gostoso que você me deu me fez esquecer da hora Eu viajei direto pra saturno e não voltei até agora Me acertou feito um raio Não vou esquecer, dia 3 de maio"
93 Million Miles (part. John Kip),"Prepare sua melhor intenção Hoje eu vim aqui, vim aqui Pra te dizer Talvez não temos tempo Mas abaixo desse céu há tempo pra vencer Pra ser o que quisermos ser Viver o que quiser viver Você pode ir bem mais além Se tiver feliz eu vou estar feliz também Por onde for Eu também vou Sua casa é o meu amor 240 thousand miles from the moon We've come a long way to belong here To share this view of the night A glorious night Over the horizon is another bright sky Oh my my how beautiful, oh my irrefutable father He told me, son sometimes it may seem dark But the absence of the light is a necessary part Just know, you're never alone, you can always come back home Home, home You can always come back Como um fogo na escuridão Eu te guio é só segurar minha mão Looking deeper through the telescope You can see that your home's inside of you Just know, that wherever you go, no you're never alone, you will always get back home Home, home, home Ohhh 93 million miles from the sun People get ready, get ready Cause here it comes, it's a light A beautiful light, over the horizon Into our eyes"
A,"Tá em dúvida Não sabe se é normal gostar de dois Tá entre o que é e o que já foi Vou te ajudar a decidir agora Vamo lá Suponha que eu sou A e ele é o B Que assim vai ser mais fácil de entender Vou começar agora com as perguntas Quem te leva ao céu? A Sem te tirar do colchão? A Quem é que tira o seu mel? A Te deixa molinha no chão? Não tenha dúvida, quem? A Te traz o céu pro colchão? A Quem é que tira o seu mel? A Te deixa molinha no chão? Acabou sua dúvida Tá em dúvida (tá em dúvida) Não sabe se é normal gostar de dois (não é normal) Tá entre o que é e o que já foi (ele já foi) Vou te ajudar a decidir agora, oh Vamo lá (Vamo lá, vamo lá, vamo lá, vamo lá) Suponha que eu sou A e ele é o B (Ele é o B, ele é o B ele é o B, ele é o B) Que assim vai ser mais fácil de entender Vou começar agora com as perguntas (Quem te leva ao céu? A Sem te tirar do colchão? A Quem é que tira o seu mel? A) Te deixa molinha no chão? Não tenha dúvida, quem? A Te traz o céu pro colchão? A Quem é que tira o seu mel? A Te deixa molinha no chão? Acabou sua dúvida Tá com medo do passado, né? Mas eu sei exatamente o que você quer, é Você não é mulher de Ralé, Lado B Esse disco já furou mete o pé Vem que eu te mostro lado A da vida Cola sua boca aqui na minha Hoje a noite vou te encher de amor oh (Quem te leva ao céu? A Sem te tirar do colchão? A) Quem é que tira o seu mel? A Te deixa molinha no chão? Não tem mais dúvida Não tem mais dúvida Ele é o B, eu sou o A Com quem cê vai ficar? Não tem mais dúvida Não tenha dúvida Ele é o B, eu sou o A Com quem cê vai ficar? A"
A Bússola,Eu me perdi tentando acertar E sem saida comecei andar Por uma selva de perigos Não consegui escapar Eu precisava de uma bússola Alguma coisa assim pra me guiar E o seu olhar brilhou na imensidão Salvando meu coração E o sol nasceu pra mim Angústia teve fim Amor descontrolado Vou pra guerra do seu lado Só preciso da bússola que me tirou do escuro A bússola que gira...gira...gira E sempre aponta pro futuro E se eu for pro sul mesmo que seja sem querer Você me traz pro leste para ver o sol nascer Só preciso da bússola que me tirou do escuro A bússola que gira...gira...gira E sempre aponta pro futuro E se eu for pro sul mesmo que seja sem querer Você me traz pro leste para ver o sol nascer
A Dor Desse Amor,"Perdoa se estou te ligando, amor, nesse momento Mas me fazia falta escutar de novo Só por um instante sua respiração Desculpa, sei que estou quebrando o nosso juramento Sei que existe outro em seu pensamento Mas meu coração pediu pra te dizer Que estou morrendo Morrendo por dentro, uh, uh, uh E é tanta saudade morando em meu peito, uh, uh, uh, uh, uh Vida, devolva minhas fantasias Meus sonhos de viver a vida Devolva-me o ar Sem teu carinho, meu mundo fica tão vazio Os dias quentes são tão frios E as noites me trazem A dor desse amor Queria te dizer que hoje estou de bem com a vida Que não senti nada com sua partida Mas com um só dedo não se tapa o Sol Eu estou morrendo Morrendo por dentro, uh, uh, uh É tanta saudade morando em meu peito, uh, uh, uh, uh, uh Vida, devolva minhas fantasias Meus sonhos de viver a vida Devolva-me o ar Sem o teu carinho, meu mundo fica tão vazio Os dias quentes são tão frios E as noites me trazem A dor desse amor Vida, devolva minhas fantasias Meu sonho de viver a vida Devolva-me o ar Sem teu carinho, meu mundo fica tão vazio Os dias quentes são tão frios E as noites me trazem A dor desse amor Perdoa se eu estou ligando, amor, nesse momento Mas, me fazia falta escutar de novo Só por um instante a sua respiração"
A Louca,"Não vem bancar a louca Não adianta pirar Foi você quem me usou E depois me pediu Pra nunca mais voltar Você já caiu fora Jurou não mais voltar Pediu que eu colocasse outra em seu lugar Mas a gente não manda No nosso sentimento Eu chorei por você muito tempo E agora vem com papo que estava errada Metendo a boca, toda enciumada Mas eu só fiz o que você mandou Não vem bancar a louca Não adianta pirar Foi você quem me usou E depois me pediu Pra nunca mais voltar Você já caiu fora Jurou não mais voltar Pediu que eu colocasse outra em seu lugar Mas a gente não manda No nosso sentimento Eu chorei por você muito tempo E agora vem com papo que estava errada Metendo a boca, toda enciumada Mas eu só fiz o que você mandou Não vem bancar a louca Não adianta pirar Foi você quem me usou E depois me pediu Pra nunca mais voltar Não vem bancar a louca Não adianta pirar Foi você quem me usou E depois me pediu Pra nunca mais voltar"
A Melhor Segunda-Feira do Ano: Medo Bobo / Sorte Que Cê Beija Bem (part. Maiara & Maraisa),"Ah, esse tom de voz eu reconheço Mistura de medo e desejo Tô aplaudindo a sua coragem de me ligar Eu, pensei que só tava alimentando Uma loucura da minha cabeça Mas quando ouvi sua voz respirei aliviado Tanto amor guardado, tanto tempo A gente se prendendo à toa Por conta de outra pessoa Só dá pra saber se acontecer É, e na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes E na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes No fundo sempre fomos bons amantes É o fim daquele medo bobo Tanto amor guardado, tanto tempo A gente se prendendo à toa Por conta de outra pessoa Só da pra saber se acontecer É, e na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes E na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes No fundo sempre fomos bons amantes É o fim daquele medo bobo É o fim daquele medo bobo Ah, esse tom de voz eu reconheço Mistura de medo e desejo Tô aplaudindo a sua coragem de me ligar Eu, pensei que só tava alimentando Uma loucura da minha cabeça Mas quando ouvi sua voz respirei aliviado Tanto amor guardado, tanto tempo A gente se prendendo à toa Por conta de outra pessoa Só dá pra saber se acontecer É, e na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes E na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes No fundo sempre fomos bons amantes É o fim daquele medo bobo Tanto amor guardado, tanto tempo A gente se prendendo à toa Por conta de outra pessoa Só da pra saber se acontecer É, e na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes E na hora que eu te beijei Foi melhor do que eu imaginei Se eu soubesse tinha feito antes No fundo sempre fomos bons amantes No fundo sempre fomos bons amantes É o fim daquele medo bobo É o fim daquele medo bobo Eu jurei não bater na sua porta Olha eu batendo e quebrando outra promessa Eu tentei não tocar mais no seu nome Mas de cada três palavras, uma me interessa Você é um problema que eu quero ter Mesmo sabendo que eu não consigo resolver Vocês são lindos demais! Eu prometo que não vou te amar Porque essa promessa Vou fazer questão de quebrar Sabe o que você tem? Tem sorte que cê beija bem Você é a corda bamba Que eu aprendi a andar Sabe o que você tem? Tem sorte que cê beija bem Só me deixar ir Porque sabe que eu vou voltar Você é um problema que eu quero ter Mesmo sabendo que eu não consigo resolver Eu prometo que não vou te amar Porque essa promessa Vou fazer questão de quebrar Sabe o que você tem? Tem sorte que cê beija bem Você é a corda bamba Que eu aprendi a andar Sabe o que você tem? Tem sorte que cê beija bem Só me deixar ir Porque sabe que eu vou voltar Sabe o que você tem? Tem sorte que cê beija bem Você é a corda bamba Que eu aprendi a andar Sabe o que você tem? Tem sorte que cê beija bem Só me deixar ir Porque sabe que eu vou voltar"
A Outra,"Trouxe o meu colchão pra sala Hoje eu vou dormir aqui Pois não quero relembrar Os momentos que vivi O lençol que a gente usava Tem perfume de jasmim O que tanto me agradava Hoje não faz bem pra mim Depois que você foi embora Entrou outra em seu lugar E é só quando eu me deito Que ela vem me visitar Passa a mão em meus cabelos Insiste muito em me beijar E eu com delicadeza Peço pra se afastar Eu não quero compromissos Nem tampouco me apegar Nem novelas tenho visto Da vontade de chorar, de chorar Tenho medo de acordar de madrugada E uma luz semi apagada refletir ela pra mim Sei que está tão curiosa e louca pra me perguntar Quem está no seu lugar Quem roubou meu coração Se chama solidão"
A Sua Vista,"Penso em você, é quase uma oração Ao nosso amor, minha religião Que eu sigo à risca Mesmo quando não estou à sua vista O dia todo, o tempo inteiro Ouço tua voz, sinto teu cheiro Canto pra você Minha amada, minha coisa mais bonita Eu conto as horas pra te ver Pra ser domingo todo dia com você Ficar na paz e ser bem mais Do que a gente pensou que ia ser Você chegou junto com a primavera Me fez alguém bem melhor do que eu era Você me trouxe o Sol Me fez amar e ser feliz de novo Você é tudo o que eu mais queria E foi enchendo minha vida de alegria Tirou da escuridão Meu coração que agora é um mar de amor O dia todo, o tempo inteiro Ouço tua voz, sinto teu cheiro Canto pra você Minha amada, minha coisa mais bonita Eu conto as horas pra te ver Pra ser domingo todo dia com você Ficar na paz e ser bem mais Do que a gente pensou que ia ser Você chegou junto com a primavera Me fez alguém bem melhor do que eu era Você me trouxe o Sol Me fez amar e ser feliz de novo Você é tudo o que eu mais queria E foi enchendo minha vida de alegria Tirou da escuridão Meu coração que agora é um mar de amor Você chegou junto com a primavera Me fez alguém bem melhor do que eu era Você me trouxe o Sol Me fez amar e ser feliz de novo Você é tudo o que eu mais queria E foi enchendo minha vida de alegria Tirou da escuridão Meu coração que agora é um mar de amor"
ABALO EMOCIONAL,"Te falei: Não confunda as coisas Melhor nem se apegar Posso não tá mais aqui quando acordar Te avisei: Não sou flor que se cheira Mas essa abelha é teimosa Me cheira e ainda me beija Com essa boca gostosa Tá aí o motivo do meu abalo emocional Fico ou não fico? Vou ou não vou? É lance ou amor? E aí, chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Conseguiu tirar o mel de onde ninguém tirava Quando eu te conheci, pensei Vou dar o golpe, eu que levei Tentei roubar o coração de uma ladra Dona da lei, eu não queria te amar, te amei Eu não queria me entregar, me entreguei Eu não queria me jogar, eu me joguei Eu não queria Tá aí o motivo do meu abalo emocional Fico ou não fico? Vou ou não vou? É lance ou amor? E aí, chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Conseguiu tirar o mel de onde ninguém tirava"
